jobId,title,category,company,location,salary,listing_time,url
73795663,"Data Analyst - IT Data & Analytics",Manajemen,"PT Adira Dinamika Multi Finance Tbk","Jakarta Selatan",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73795663?type=standard&ref=search-standalone&origin=cardTitle
73795648,"IT Network Officer","Administrasi Jaringan & Sistem","Adaro Minerals",Bulungan,,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73795648?type=standout&ref=search-standalone&origin=cardTitle
73795480,"Senior SAP FICO",Konsultan,"Elitez Pte Ltd","Jakarta Raya","Rp 17.000.000 – Rp 25.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73795480?type=standout&ref=search-standalone&origin=cardTitle
73795308,"Cybersecurity Analyst",Keamanan,"PT Akulaku Silvrr Indonesia","Jakarta Pusat",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73795308?type=standout&ref=search-standalone&origin=cardTitle
73795236,"Project Management Office Specialist","Manajemen Program & Proyek","PT Wahana Ottomitra Multiartha (WOM Finance). Tbk","Jakarta Utara",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73795236?type=standard&ref=search-standalone&origin=cardTitle
73795230,"IT Programmer",Manajemen,,Surabaya,,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73795230?type=standard&ref=search-standalone&origin=cardTitle
73794771,"Staff IT Engineering & Completion","Administrasi Jaringan & Sistem","Massindo Group","Medan Area",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73794771?type=standout&ref=search-standalone&origin=cardTitle
73794553,"Fullstack Software Developer","Teknik – Perangkat Lunak","PT MITRA IBISNIS TERAPAN","Jakarta Barat",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73794553?type=standard&ref=search-standalone&origin=cardTitle
73794679,"IT Project","Analis Bisnis/Sistem","PT Binara Guna Mediktama","Jakarta Selatan",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73794679?type=standout&ref=search-standalone&origin=cardTitle
73794577,"Presales Engineer Bandung","Penjualan – Pra & Pasca","PT. Berca Hardayaperkasa",Bandung,,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73794577?type=standard&ref=search-standalone&origin=cardTitle
73794543,"ERP Functional Consultant",Konsultan,"PT Wahana Cipta Sinatria",Gubeng,"Rp 7.000.000 – Rp 9.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73794543?type=standout&ref=search-standalone&origin=cardTitle
73793922,"Staff IT Technical Support","Meja Bantuan & Dukungan IT","PT Global Jet Express","Jakarta Utara",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73793922?type=standard&ref=search-standalone&origin=cardTitle
73811401,"Sales Engineer - Remote","Penjualan – Pra & Pasca","Partner One Capital","Jakarta Raya",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73811401?type=standard&ref=search-standalone&origin=cardTitle
73793760,".NET WPF Developer (Full Remote)",Developer/Programmer,DevStack,Bandung,"Rp 14.000.000 – Rp 20.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73793760?type=standout&ref=search-standalone&origin=cardTitle
73793618,"PROJECT MANAGER","Manajemen Program & Proyek","PT Bagus Harapan Tritunggal","Jakarta Pusat",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73793618?type=standout&ref=search-standalone&origin=cardTitle
73793489,"Head of Product - Open Finance API","Manajemen & Pengembangan Produk","PT Michael Page Internasional Indonesia","Pasar Minggu",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73793489?type=standard&ref=search-standalone&origin=cardTitle
73793407,"DevSecOps (Frontend Development)",Developer/Programmer,"PT. Elabram Systems","Jakarta Raya","Rp 15.000.000 – Rp 20.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73793407?type=standard&ref=search-standalone&origin=cardTitle
73793364,"Mobile Developer Staff (Penempatan Anak Usaha)",Developer/Programmer,"Kisel (Koperasi Telekomunikasi Selular)","Jakarta Selatan",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73793364?type=standard&ref=search-standalone&origin=cardTitle
73792714,"Software QA Automation Engineer","Uji Coba & Penjaminan Mutu","PT Lawencon Internasional","Jakarta Selatan",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73792714?type=standout&ref=search-standalone&origin=cardTitle
73792124,"Network Engineer","Teknik – Jaringan",,"Jakarta Selatan","Rp 5.350.000 – Rp 8.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73792124?type=standard&ref=search-standalone&origin=cardTitle
73792083,"IT Service Desk and Cash Management Operational","Meja Bantuan & Dukungan IT","PT Square Gate One / ESPAY.ID",Tangerang,,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73792083?type=standard&ref=search-standalone&origin=cardTitle
73792098,"Full Stack Developer (ID)",Developer/Programmer,"Quantphemes Innovation Lab Limited","Jakarta Raya",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73792098?type=standout&ref=search-standalone&origin=cardTitle
73791238,"ETL Developer",Developer/Programmer,"PT Nawa Data Solutions","Tangerang Selatan","Rp 10.000.000 – Rp 15.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73791238?type=standout&ref=search-standalone&origin=cardTitle
73791064,".Net Developer",Developer/Programmer,"PT Glm Sinergi Kreatifa","Jakarta Timur","Rp 10.000.000 – Rp 14.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73791064?type=standout&ref=search-standalone&origin=cardTitle
73790689,"Software Developer (Java)","Teknik – Perangkat Lunak","PT Collega Inti Pratama","Jakarta Selatan",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73790689?type=standout&ref=search-standalone&origin=cardTitle
73789963,"Backend Developer","Pengembangan & Produksi Web","PT Kepoo Solusi Indonesia","Jakarta Raya",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73789963?type=standout&ref=search-standalone&origin=cardTitle
73787803,"Product Management / Product Owner","Manajemen & Pengembangan Produk","PT Rsystems Ibizcs International","Jakarta Selatan","Rp 14.000.000 – Rp 15.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73787803?type=standout&ref=search-standalone&origin=cardTitle
73787395,"DevOps Engineer","Administrasi Jaringan & Sistem","PT DATACELL INFOMEDIA (PAYDIA)","Jakarta Pusat",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73787395?type=standout&ref=search-standalone&origin=cardTitle
73787198,"IT Solution DevOps","Administrasi Jaringan & Sistem","PT Adira Dinamika Multi Finance Tbk","Jakarta Selatan",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73787198?type=standard&ref=search-standalone&origin=cardTitle
73786890,"MQ Engineer","Teknik – Perangkat Lunak","PT Rsystems Ibizcs International","Jakarta Raya","Rp 15.000.000 – Rp 20.000.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73786890?type=standout&ref=search-standalone&origin=cardTitle
73785246,"IT Support","Meja Bantuan & Dukungan IT","PT. LAVINTA BUANA SAKTI","Jakarta Barat",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73785246?type=standard&ref=search-standalone&origin=cardTitle
73800318,"END USER COMPUTING (EUC) - IT SUPPORT","Teknik – Perangkat Keras","Wilmar Group",Medan,,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73800318?type=standard&ref=search-standalone&origin=cardTitle
73785394,"Staff IT","Administrasi Jaringan & Sistem","PT. DYM Medical Indonesia","Jakarta Pusat",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73785394?type=standout&ref=search-standalone&origin=cardTitle
73785390,"Software Test Engineer - IT Loan Origination","Teknik – Perangkat Lunak","PT Adira Dinamika Multi Finance Tbk","Jakarta Raya",,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73785390?type=standard&ref=search-standalone&origin=cardTitle
73782708,"IT PROGRAMMER",Developer/Programmer,"PT Buccheri Indonesia","Jakarta Barat","Rp 6.000.000 – Rp 8.400.000 per month","28 hari yang lalu",https://www.jobstreet.co.id/id/job/73782708?type=standard&ref=search-standalone&origin=cardTitle
73784829,"IT Application Support","Meja Bantuan & Dukungan IT","PT Accelist Lentera Indonesia",Cibitung,,"28 hari yang lalu",https://www.jobstreet.co.id/id/job/73784829?type=standout&ref=search-standalone&origin=cardTitle
73784112,"Data Center Engineer",Lainnya,"PT Bali Towerindo Sentra Tbk","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73784112?type=standard&ref=search-standalone&origin=cardTitle
73783918,"System Analyst","Analis Bisnis/Sistem","PT. Metrodata Electronics. Tbk","Jakarta Barat",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73783918?type=standard&ref=search-standalone&origin=cardTitle
73783524,"Software Engineer",Developer/Programmer,"PT Nusantara Duta Solusindo (NDS)","Jakarta Selatan",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73783524?type=standard&ref=search-standalone&origin=cardTitle
73783361,"IT Project Manager","Manajemen Program & Proyek","PT. ALPHA INDO SOFT","Jakarta Barat","Rp 15.000.000 – Rp 20.000.000 per month","1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73783361?type=standout&ref=search-standalone&origin=cardTitle
73783216,"Oracle Form Developer",Developer/Programmer,"PT Indocyber Global Teknologi","Jakarta Selatan",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73783216?type=standout&ref=search-standalone&origin=cardTitle
73782733,"IT Quality Assurance","Uji Coba & Penjaminan Mutu","PT. ALPHA INDO SOFT","Jakarta Barat","Rp 10.000.000 – Rp 15.000.000 per month","1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73782733?type=standout&ref=search-standalone&origin=cardTitle
73782479,"IT Business Analyst","Analis Bisnis/Sistem","PT. ALPHA INDO SOFT","Jakarta Raya","Rp 12.000.000 – Rp 18.000.000 per month","1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73782479?type=standout&ref=search-standalone&origin=cardTitle
73782363,"IT Business Analyst (Sales & Distribution)","Analis Bisnis/Sistem","Erajaya Group","Jakarta Barat",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73782363?type=standard&ref=search-standalone&origin=cardTitle
73782072,"IT Software Quality Assurance","Uji Coba & Penjaminan Mutu","PT Adi Data Informatika","Jakarta Raya",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73782072?type=standout&ref=search-standalone&origin=cardTitle
73781921,"IT Developer",Developer/Programmer,"PT Yerry Primatama Hosindo (Engineering Division)","Bogor Barat",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73781921?type=standout&ref=search-standalone&origin=cardTitle
73781612,"Fullstack Developer",Developer/Programmer,"PT Intitek Presisi Integrasi",Tangerang,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73781612?type=standout&ref=search-standalone&origin=cardTitle
73781491,"IT Software Development (Internship)","Teknik – Perangkat Lunak","PT Aneka Search Indonesia",Setiabudi,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73781491?type=standard&ref=search-standalone&origin=cardTitle
73780524,"Senior Web Developer",Developer/Programmer,"PT Genesys Integrated Indonesia",Surabaya,,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73780524?type=standout&ref=search-standalone&origin=cardTitle
73779750,"SYSTEMS ANALYST","Analis Bisnis/Sistem","PT Faasri Utama Sakti","Tangerang Selatan",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73779750?type=standout&ref=search-standalone&origin=cardTitle
73779151,"ERP Application Consultant","Analis Bisnis/Sistem","PT Artha Infotama (Jakarta)","Jakarta Selatan",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73779151?type=standout&ref=search-standalone&origin=cardTitle
73779661,"Associate/Engineer. Software Engineering (based in Jakarta)",Developer/Programmer,"Red Dot Payment Pte Ltd","Jakarta Barat",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73779661?type=standout&ref=search-standalone&origin=cardTitle
73779254,"Head of Application and Development Department (Programmer)",Developer/Programmer,"PT Austindo Nusantara Jaya Healthcare (KMN EyeCare)","Jakarta Selatan",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73779254?type=standard&ref=search-standalone&origin=cardTitle
73778935,"Data Engineer","Pengembangan & Administrasi Database","PT. Metrodata Electronics. Tbk","Jakarta Barat",,"1 bulan yang lalu",https://www.jobstreet.co.id/id/job/73778935?type=standard&ref=search-standalone&origin=cardTitle
